RUN,GRID,NWUMPUS,NPITS,NGOLD,ENV,OUTCOME,REASON,SUICIDEFLAG
1,6x6,1,1,1,Static,WON,-,False
2,7x7,1,1,1,Static,WON,-,False
3,8x8,1,1,1,Static,WON,-,False
4,9x9,1,1,1,Static,WON,-,False
5,10x10,1,1,1,Static,WON,-,False
6,11x11,1,1,1,Static,WON,-,False
7,12x12,1,1,1,Static,WON,-,False
8,13x13,1,1,1,Static,WON,-,False
9,14x14,1,1,1,Static,WON,-,False
10,15x15,1,1,1,Static,WON,-,False
11,16x16,1,1,1,Static,WON,-,False
12,17x17,1,1,1,Static,WON,-,False
13,18x18,1,1,1,Static,WON,-,False
14,19x19,1,1,1,Static,WON,-,False
15,6x6,1,1,1,Static,WON,-,False
16,7x7,1,1,1,Static,WON,-,False
17,8x8,1,1,1,Static,WON,-,False
18,9x9,1,1,1,Static,WON,-,False
19,10x10,1,1,1,Static,WON,-,False
20,11x11,1,1,1,Static,WON,-,False
21,12x12,1,1,1,Static,WON,-,False
22,13x13,1,1,1,Static,WON,-,False
23,14x14,1,1,1,Static,WON,-,False
24,15x15,1,1,1,Static,WON,-,False
25,16x16,1,1,1,Static,WON,-,False
26,17x17,1,1,1,Static,WON,-,False
27,18x18,1,1,1,Static,WON,-,False
28,19x19,1,1,1,Static,WON,-,False
29,6x6,1,1,1,Static,WON,-,False
30,7x7,1,1,1,Static,WON,-,False
31,8x8,1,1,1,Static,WON,-,False
32,9x9,1,1,1,Static,WON,-,False
33,10x10,1,1,1,Static,WON,-,False
34,11x11,1,1,1,Static,WON,-,False
35,12x12,1,1,1,Static,WON,-,False
36,13x13,1,1,1,Static,WON,-,False
37,14x14,1,1,1,Static,WON,-,False
38,15x15,1,1,1,Static,WON,-,False
39,16x16,1,1,1,Static,WON,-,False
40,17x17,1,1,1,Static,WON,-,False
41,18x18,1,1,1,Static,WON,-,False
42,19x19,1,1,1,Static,WON,-,False
43,6x6,2,1,1,Static,LOST,PIT,False
44,7x7,2,1,1,Static,WON,-,False
45,8x8,2,1,1,Static,WON,-,False
46,9x9,2,1,1,Static,WON,-,False
47,10x10,2,1,1,Static,WON,-,False
48,11x11,2,1,1,Static,WON,-,False
49,12x12,2,1,1,Static,WON,-,False
50,13x13,2,1,1,Static,WON,-,False
51,14x14,2,1,1,Static,WON,-,False
52,15x15,2,1,1,Static,WON,-,False
53,16x16,2,1,1,Static,WON,-,False
54,17x17,2,1,1,Static,WON,-,False
55,18x18,2,1,1,Static,WON,-,False
56,19x19,2,1,1,Static,WON,-,False
57,6x6,2,1,1,Static,WON,-,False
58,7x7,2,1,1,Static,WON,-,False
59,8x8,2,1,1,Static,WON,-,False
60,9x9,2,1,1,Static,WON,-,False
61,10x10,2,1,1,Static,WON,-,False
62,11x11,2,1,1,Static,WON,-,False
63,12x12,2,1,1,Static,WON,-,False
64,13x13,2,1,1,Static,WON,-,False
65,14x14,2,1,1,Static,WON,-,False
66,15x15,2,1,1,Static,WON,-,False
67,16x16,2,1,1,Static,LOST,WUMPUS,False
68,17x17,2,1,1,Static,WON,-,False
69,18x18,2,1,1,Static,WON,-,False
70,19x19,2,1,1,Static,WON,-,False
71,6x6,2,1,1,Static,WON,-,False
72,7x7,2,1,1,Static,WON,-,False
73,8x8,2,1,1,Static,LOST,WUMPUS,False
74,9x9,2,1,1,Static,WON,-,False
75,10x10,2,1,1,Static,WON,-,False
76,11x11,2,1,1,Static,WON,-,False
77,12x12,2,1,1,Static,WON,-,False
78,13x13,2,1,1,Static,WON,-,False
79,14x14,2,1,1,Static,WON,-,False
80,15x15,2,1,1,Static,WON,-,False
81,16x16,2,1,1,Static,WON,-,False
82,17x17,2,1,1,Static,WON,-,False
83,18x18,2,1,1,Static,WON,-,False
84,19x19,2,1,1,Static,WON,-,False
85,6x6,1,2,1,Static,WON,-,False
86,7x7,1,2,1,Static,WON,-,False
87,8x8,1,2,1,Static,WON,-,False
88,9x9,1,2,1,Static,WON,-,False
89,10x10,1,2,1,Static,WON,-,False
90,11x11,1,2,1,Static,WON,-,False
91,12x12,1,2,1,Static,WON,-,False
92,13x13,1,2,1,Static,WON,-,False
93,14x14,1,2,1,Static,WON,-,False
94,15x15,1,2,1,Static,WON,-,False
95,16x16,1,2,1,Static,WON,-,False
96,17x17,1,2,1,Static,WON,-,False
97,18x18,1,2,1,Static,WON,-,False
98,19x19,1,2,1,Static,WON,-,False
99,6x6,1,2,1,Static,WON,-,False
100,7x7,1,2,1,Static,WON,-,False
101,8x8,1,2,1,Static,WON,-,False
102,9x9,1,2,1,Static,WON,-,False
103,10x10,1,2,1,Static,WON,-,False
104,11x11,1,2,1,Static,WON,-,False
105,12x12,1,2,1,Static,WON,-,False
106,13x13,1,2,1,Static,WON,-,False
107,14x14,1,2,1,Static,WON,-,False
108,15x15,1,2,1,Static,WON,-,False
109,16x16,1,2,1,Static,WON,-,False
110,17x17,1,2,1,Static,WON,-,False
111,18x18,1,2,1,Static,WON,-,False
112,19x19,1,2,1,Static,WON,-,False
113,6x6,1,2,1,Static,WON,-,False
114,7x7,1,2,1,Static,WON,-,False
115,8x8,1,2,1,Static,WON,-,False
